# gpu=Tesla T4
# compute_capability=7.5
# sm_count=40
# cuda_runtime=12.8
# cuda_driver=13.0
# warmup_launches=10
# samples=15
# target_sample_ms=100
implementation,m,n,k,kernel_iterations,pipeline_iterations,kernel_min_ms,kernel_median_ms,kernel_p90_ms,kernel_gflops,pipeline_median_ms,pipeline_p90_ms,pipeline_effective_gflops
naive,128,128,128,6100,598,0.010902,0.011020,0.011099,380.622,0.096398,0.111254,43.510
tiled,128,128,128,9963,774,0.008067,0.008071,0.008075,519.666,0.090295,0.092431,46.451
register_tiled_2x2,128,128,128,10000,897,0.007319,0.007322,0.007324,572.867,0.090093,0.091820,46.555
naive,256,256,256,1594,217,0.070034,0.071077,0.071254,472.088,0.304357,0.310497,110.247
tiled,256,256,256,2428,308,0.044115,0.044551,0.044766,753.168,0.280140,0.288114,119.778
register_tiled_2x2,256,256,256,3816,318,0.026926,0.027196,0.027393,1233.821,0.292984,0.301547,114.526
naive,512,512,512,231,52,0.523491,0.526310,0.528409,510.033,1.321681,1.348756,203.102
tiled,512,512,512,361,78,0.320976,0.321888,0.325168,833.939,1.174269,1.200567,228.598
register_tiled_2x2,512,512,512,648,88,0.180291,0.181325,0.182112,1480.409,1.048645,1.101608,255.983
naive,1024,1024,1024,21,10,4.805095,4.827387,4.892736,444.854,6.963845,7.173262,308.376
tiled,1024,1024,1024,41,13,2.919742,2.943026,2.963102,729.686,5.002856,5.161920,429.252
register_tiled_2x2,1024,1024,1024,84,16,1.569428,1.581070,1.586784,1358.247,3.898656,3.975839,550.827
naive,2048,2048,2048,3,2,47.396032,47.403692,47.968597,362.416,52.140573,53.270006,329.491
tiled,2048,2048,2048,4,3,29.454479,29.593088,29.716991,580.537,34.602625,35.448365,496.490
register_tiled_2x2,2048,2048,2048,7,4,14.621257,14.709403,14.759181,1167.952,20.160724,20.585920,852.145
naive,512,2048,256,110,23,1.073089,1.086753,1.092768,494.014,2.472608,2.527242,217.127
tiled,512,2048,256,189,42,0.650835,0.658089,0.663359,815.802,2.242184,2.334646,239.441
register_tiled_2x2,512,2048,256,361,47,0.368055,0.370548,0.372219,1448.858,1.885440,1.946179,284.746
naive,2048,512,256,117,36,1.142731,1.150223,1.154741,466.754,2.487759,2.561723,215.805
tiled,2048,512,256,185,40,0.694315,0.700657,0.706927,766.240,2.171980,2.202703,247.180
register_tiled_2x2,2048,512,256,357,45,0.385976,0.389118,0.391532,1379.713,2.035445,2.167250,263.761
