# gpu=Tesla T4
# compute_capability=7.5
# sm_count=40
# cuda_runtime=12.8
# cuda_driver=13.0
# warmup_launches=10
# samples=15
# target_sample_ms=100
implementation,m,n,k,kernel_iterations,pipeline_iterations,kernel_min_ms,kernel_median_ms,kernel_p90_ms,kernel_gflops,pipeline_median_ms,pipeline_p90_ms,pipeline_effective_gflops
naive,128,128,128,4735,715,0.010960,0.011049,0.014549,379.614,0.089099,0.092827,47.075
tiled,128,128,128,10000,935,0.008057,0.008059,0.008061,520.481,0.088746,0.092084,47.262
naive,256,256,256,1573,214,0.070708,0.070951,0.071416,472.925,0.309093,0.321411,108.558
tiled,256,256,256,2435,294,0.044454,0.044588,0.044865,752.538,0.305401,0.312168,109.870
naive,512,512,512,230,51,0.523763,0.526301,0.528920,510.042,1.359237,1.395686,197.490
tiled,512,512,512,359,73,0.321639,0.322856,0.324896,831.440,1.194062,1.215737,224.809
naive,1024,1024,1024,21,10,4.820869,4.840985,4.901429,443.605,6.759027,6.940233,317.721
tiled,1024,1024,1024,44,12,2.917456,2.936553,2.950103,731.294,5.179092,5.451255,414.645
naive,2048,2048,2048,3,2,46.292318,46.690272,46.693527,367.954,51.925343,52.361975,330.857
tiled,2048,2048,2048,4,3,29.229568,29.547049,29.713535,581.441,34.616367,35.555083,496.293
naive,512,2048,256,96,22,1.063035,1.070320,1.078069,501.599,2.642264,2.765032,203.186
tiled,512,2048,256,188,39,0.645407,0.648561,0.656395,827.787,2.227435,2.294284,241.026
naive,2048,512,256,117,35,1.117037,1.124629,1.131433,477.376,2.562013,2.619589,209.550
tiled,2048,512,256,185,41,0.680379,0.687883,0.693077,780.468,2.256328,2.282289,237.940
